number,id,delta,x_coord,y_coord
0,881f8d4581fffff,0,48.12500860570914,11.515835823754754
1,881f8d44c3fffff,3,48.181652147235695,11.572290326157123
2,881f8d45d5fffff,-1,48.1385379569946,11.521700265437794
3,881f8d4593fffff,-4,48.12586145649906,11.560800501730284
4,881f8d44a1fffff,-6,48.14699864814944,11.563605494724701
5,881f8d4535fffff,2,48.1139669417582,11.441020154857855
6,881f8d7ae9fffff,1,48.106370929590625,11.647929694960437
7,881f8d44e7fffff,-9,48.15629617139376,11.548522083003938
8,881f8d45c3fffff,4,48.14022402944496,11.509689959094054
9,881f8d45dbfffff,-4,48.15037765950356,11.539579716069387
10,881f8d7a6dfffff,-5,48.11233097688893,11.554929002256337
11,881f8d4587fffff,-6,48.1173995447489,11.518907885793059
12,881f8d7851fffff,-2,48.07930547735565,11.636156177100261
13,881f8d44a5fffff,24,48.14108061294973,11.554662452414323
14,881f8d4403fffff,3,48.17656422857768,11.506331053171953
